"Integral length scale","Temperature (K)","Pressure (Pa)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Turbulent Viscosity (Pa-s)","Turbulent Kinetic Energy (J/kg)","Turbulent Dissipation Rate (m^2/s^3)","X (m)","Y (m)","Z (m)"
0.025293135306398037,529.13096563522151,51032.623225171039,-0.023039374760350055,-0.0014615539148613668,0.0042315313611813515,0.15547558842589532,0.00026716025650937658,0.00041341724943402109,-0.13500000000000001,0,0.17000000000000001
0.053727532312750452,529.10378127746424,51032.612079209692,-0.040368663631827284,-0.00080887940428954941,-0.013865664534284608,0.18417688747297245,0.00051334832400522766,0.0012173149852756661,-0.12,0,0.17000000000000001
0.15609985135969734,526.73229643511354,51037.776739892353,-0.076733653199491797,0.0027576768799557902,-0.0095819876852230087,0.17689632731938434,0.00088791352380039926,0.0046514443017444274,-0.105,0,0.17000000000000001
22.660546912569949,525.50586014158557,50907.260482844569,-0.0031879351928677242,0.00015409634704668148,1.4788419904462834e-06,4.902094311992977e-05,2.2583069466625941e-06,0.034053509212247361,-0.089999999999999997,0,0.17000000000000001
29.174632261726902,524.72440370647337,50907.699522539267,-0.0039768519959470349,9.7701347048648844e-05,6.2909506217316263e-06,8.0638629329938215e-05,3.7222541423897311e-06,0.056287038805200411,-0.074999999999999997,0,0.17000000000000001
37.973104686017535,523.54575360699005,50911.583967980027,-0.0053658005164811673,-0.00033111971150739759,7.2299216602814134e-06,0.00014434678036183172,6.682693211608403e-06,0.098163914517995249,-0.059999999999999998,0,0.17000000000000001
341.36044721626797,516.31573714248611,52019.630244255961,0.001082097829676294,-0.0094437556198456486,0.024506029020124366,1.9308495451458293e-06,0.00044792000467433734,7.2245937044311166,0,0,0.17000000000000001
256.05658527994905,518.28026726461621,51281.360161459736,0.023440962177214794,-0.0039155025555137309,0.0014974973352235338,1.1270249393160567e-06,0.00025988816119234181,4.127900284205781,0.015000000000000013,0,0.17000000000000001
62.160823941307214,520.81992477099232,50963.352518541171,0.011697654929972037,-0.0015204995631256321,4.7929383547908916e-05,7.215235414843998e-08,1.6493379858488102e-05,0.25244780159539881,0.029999999999999999,0,0.17000000000000001
43.821331902759532,522.69363272895976,50919.29214232404,0.0070052725292508375,-0.00067302592140972939,1.2702570112657443e-05,3.6589454255046064e-08,8.3226562904214264e-06,0.12642022329562683,0.045000000000000012,0,0.17000000000000001
0.11901647463260416,526.81281628010788,51037.071980397734,0.071760625500514652,-0.0039615854095837993,-0.0097983892772582088,0.185265546544013,0.00079189430761881488,0.003349196992273274,0.10500000000000001,0,0.17000000000000001
0.044748333625382601,528.67707356995834,51029.930045380104,0.04402936176702562,0.0017250599581109382,-0.013735788008200214,0.20274369406534418,0.0004836767875742596,0.00098413457537480597,0.12000000000000002,0,0.17000000000000001
0.026186860791126292,528.80759683526583,51030.165591050958,0.031369807175008167,0.0040351495740843287,7.5470070073628629e-05,0.18076548419978122,0.00030980515388727322,0.0004609223407042819,0.13499999999999998,0,0.17000000000000001
0.045341415862359784,527.64819865783875,51781.8738382909,-0.055794133891264322,0.0027621680616478407,-0.010330068616902931,0.2491093405722111,0.00045621598019982473,0.00096845695935971344,-0.13500000000000001,0,0.1615
0.06360698808994053,526.73618598674739,51772.819438549064,-0.081529961593658509,0.0050305613867325204,-0.022310859486106518,0.44097243637327804,0.00058657175240618329,0.0015405131285104534,-0.12,0,0.1615
0.080393850650081436,526.53765948165483,51771.803449423795,-0.080812503982098632,0.0071493090356442067,-0.0094435302395725982,0.46949818650290909,0.00087313920326510135,0.0023755521824717959,-0.105,0,0.1615
0.10923452880477545,526.51922951529264,51770.435722443479,-0.080683012529510226,0.0075035882667166091,0.0035269908781525232,0.55185765287143329,0.0013278593767641182,0.0039804849114156368,-0.089999999999999997,0,0.1615
0.15788270314271802,526.16900188996522,51771.939660465076,-0.082334509033831785,0.0060301265436886091,0.0067025198651640685,0.65949724987157321,0.0020246650301602919,0.0071041339955222388,-0.074999999999999997,0,0.1615
0.24147069826727735,525.67780733852453,51774.713839131429,-0.08221873979704869,0.0029759951032532956,0.0089931153485792361,0.77422691138481992,0.0032273576833028871,0.013717911228456158,-0.059999999999999998,0,0.1615
0.35067869673779195,524.93196349499567,51713.883299469569,-0.091989863164301661,-0.0011133483726832654,0.013061864508400517,0.85274642063349748,0.004815627322299721,0.024335250370366469,-0.044999999999999998,0,0.1615
0.38671578155389891,524.01969388065186,51720.992240978412,-0.10549643858482317,-0.0071237913676243797,0.034555635210545818,0.9396178261496948,0.0055551387350038211,0.028823011194593393,-0.029999999999999999,0,0.1615
0.60196180361020102,520.41803427968819,51883.499820195815,-0.11388290659649855,-0.025097641564453634,0.13678429076860996,1.5655165585404862,0.010296415359177016,0.06108181898594868,-0.014999999999999986,0,0.1615
0.86642001109661693,515.42474946976745,52227.423154004035,-0.0059048648336148821,-0.033247403071549227,0.30820664053610053,1.9997022591794495,0.015721931432228602,0.10863791532724615,0,0,0.1615
0.51840028759868173,521.21907511672975,51877.922006362045,0.10196397510829716,-0.0088298918651093586,0.13411080882005452,1.4013364525142356,0.0089239364607162624,0.048971506970330612,0.015000000000000013,0,0.1615
0.31746758121998758,525.11532620372145,51725.683784030851,0.095691290009462748,-7.550031965354199e-05,0.039331240959453735,0.87315543685576069,0.0045204040665121781,0.021344599562423527,0.029999999999999999,0,0.1615
0.28140507943811233,525.90341768761448,51715.115535158468,0.083245049396493284,-0.0049294595041232602,0.014564593856071581,0.72437591820400971,0.003810659386520586,0.017371287097234817,0.045000000000000012,0,0.1615
0.19905232609553056,526.42683092473897,51775.741746895626,0.07362706728660981,-0.0061496916366477845,0.0093999613580965247,0.66368842060209998,0.00263683284221756,0.01022135699018995,0.059999999999999998,0,0.1615
0.1336674547447044,526.69656330012026,51772.880840642632,0.074385231171750138,-0.0063442579573660196,0.0067858306571996754,0.58324633380707203,0.0017155759939225562,0.0055364407774410431,0.074999999999999983,0,0.1615
0.093517153330542724,526.91190932570703,51771.027122680243,0.073277448562280328,-0.0066144665205940586,0.0037356931299132655,0.50184552303413421,0.0011517436751724238,0.0031737242948993052,0.089999999999999997,0,0.1615
0.069478726505364782,526.85952594522837,51771.566491975573,0.074432789740487629,-0.0061530445063771883,-0.0087165448536235118,0.42986689295471525,0.00076859383879228067,0.0019261952116990863,0.10500000000000001,0,0.1615
0.054020210919368934,526.97154856923248,51771.311275014341,0.076856591596310683,-0.0044752827997449071,-0.018952597237628686,0.43955299990573854,0.00052903674952993419,0.001242508007295078,0.12000000000000002,0,0.1615
0.040411063910196991,527.47607565630187,51777.852286927329,0.060678051085994333,-0.0022521611347398238,-0.011823487597651602,0.30380646968373509,0.00042760986342810497,0.00083564946887828141,0.13499999999999998,0,0.1615
0.038326077842778444,527.1801077432558,52525.198714978702,-0.053111386891678755,0.0061654678142606311,-0.026901051662735157,0.2904851410405806,0.00041269232294368973,0.00077858776067327672,-0.13500000000000001,0,0.15300000000000002
0.037015080669154141,527.67471065964753,52511.600529690331,-0.057019364741786253,0.01038426912941102,-0.015527030622525828,0.26200517965281628,0.00042815767189609928,0.00076591498295220436,-0.12,0,0.15300000000000002
0.024012699016538699,528.56360524767354,52509.785611540618,-0.04496747745116253,0.013584339084695729,-4.166128320914035e-05,0.2423609883560944,0.00028630608549501309,0.00040630883585100188,-0.105,0,0.15300000000000002
0.020703285903986065,528.88580361004279,52510.462463426804,-0.039567599697457927,0.014786639272673608,0.010182524876465661,0.26087908740568894,0.00025387850651667612,0.00032987716005039721,-0.089999999999999997,0,0.15300000000000002
0.022716385572035952,528.95346628799746,52512.931154896556,-0.032184827043308536,0.015323417624215614,0.015569854419469321,0.26445515130924974,0.00027204884215645194,0.000374681864255862,-0.074999999999999997,0,0.15300000000000002
0.023492273341845893,528.93333741938227,52515.630522144915,-0.018856643963887761,0.015525750297487109,0.019709686558920761,0.24012284909860326,0.00025406546706143324,0.00037445347472430057,-0.059999999999999998,0,0.15300000000000002
0.0079715803997930882,528.93426257318379,52577.689809751202,-0.0091462796416524206,0.015822062142490316,0.023418215501376891,0.30470806838348924,0.00014311202396903824,9.5363568188993862e-05,-0.044999999999999998,0,0.15300000000000002
0.034879962440832073,528.4700071679149,52578.410737027341,-0.0063525135640191775,0.019832527954685718,0.027151456168946018,0.29516445330926272,0.00040042047183534881,0.00069796580355883692,-0.029999999999999999,0,0.15300000000000002
0.48129462229470876,522.88671084713678,52620.640872148855,-0.035406560071496264,0.013559317103539871,0.17204438080082582,1.4427729061275916,0.0077877817842333151,0.042473484931919485,-0.014999999999999986,0,0.15300000000000002
0.8818577120418829,514.05834256797812,52745.044233396606,-0.0073843712162413805,-0.00074560450457322183,0.46924444798086379,1.3182305471329241,0.010637011638879083,0.090951179269930502,0,0,0.15300000000000002
0.40884358301989615,523.36437138738745,52624.657302475047,0.030292250012843344,0.012039952325052356,0.17871373239594085,1.3742032686093242,0.0063414238667203852,0.032557464606270327,0.015000000000000013,0,0.15300000000000002
