UB,LB,X,Y,Z
-1.1168902382906403,3.3985946548844943,-0.1499999999999999,0.0,0.0
-2.1964670352457922,5.965857004424105,-0.1499999999999999,0.0,0.0085
-165.16897551266575,167.52161603623344,-0.1499999999999999,0.0,0.0169999999999999
-133.32017542885885,139.07872842142135,-0.1499999999999999,0.0,0.0254999999999999
-99.9899266736249,108.7594404584218,-0.1499999999999999,0.0,0.034
-159.81111204802983,169.88618015597564,-0.1499999999999999,0.0,0.0425
-92.76321533255019,104.13095319654558,-0.1499999999999999,0.0,0.051
-132.17104475880106,144.17806386578533,-0.1499999999999999,0.0,0.0594999999999999
-13.170701617237905,26.39451124955228,-0.1499999999999999,0.0,0.068
-26.37728420726161,40.73993791389226,-0.1499999999999999,0.0,0.0764999999999999
-31.61894701375601,46.81167649457755,-0.1499999999999999,0.0,0.085
-31.605254488268034,47.11329430608306,-0.1499999999999999,0.0,0.0935
-27.710973282309197,43.845609982436414,-0.1499999999999999,0.0,0.102
-19.94662122973909,36.99024300537842,-0.1499999999999999,0.0,0.1105
-35.084577869586944,52.756720564784054,-0.1499999999999999,0.0,0.119
-55.46589248552882,75.00231313864228,-0.1499999999999999,0.0,0.1275
-90.14480931610328,113.0487229451308,-0.1499999999999999,0.0,0.136
-93.97698700942001,118.2009218970073,-0.1499999999999999,0.0,0.1445
-56.13670889160535,81.78759632894322,-0.1499999999999999,0.0,0.153
-95.05209889074578,116.71373947207687,-0.1499999999999999,0.0,0.1615
0.17688378196018206,13.593806460339337,-0.1499999999999999,0.0,0.17
-19.42807692774806,23.910968872292287,-0.135,0.0,0.0
0.005705743723034814,0.006147302742281786,-0.135,0.0,0.0085
0.006669643951783958,0.007820453948036949,-0.135,0.0,0.0169999999999999
0.008166612161087414,0.010645207669553583,-0.135,0.0,0.0254999999999999
0.00895588243715051,0.01207510391201085,-0.135,0.0,0.034
0.010380784094172226,0.014442930658385575,-0.135,0.0,0.0425
0.011231685869379487,0.01596531474760408,-0.135,0.0,0.051
0.0115330679902752,0.016290038570883368,-0.135,0.0,0.0594999999999999
0.011943727985182458,0.01637565876288477,-0.135,0.0,0.068
0.01217583534170888,0.01627668985261019,-0.135,0.0,0.0764999999999999
0.012324927155048281,0.016266568096516328,-0.135,0.0,0.085
0.012806676573313722,0.01632283717089099,-0.135,0.0,0.0935
0.012962458987129473,0.01689760663431153,-0.135,0.0,0.102
0.014101062815909756,0.016657476351811445,-0.135,0.0,0.1105
0.015183121480487812,0.016335293579917587,-0.135,0.0,0.119
0.01719481283934871,0.017753420241603094,-0.135,0.0,0.1275
0.021848553019639977,0.022100597814822362,-0.135,0.0,0.136
0.023979275658441886,0.027156120424882656,-0.135,0.0,0.1445
0.03100280136396133,0.034539215528869044,-0.135,0.0,0.153
0.022521424584265044,0.03443296352413504,-0.135,0.0,0.1615
0.019704965833432644,0.019984699801152753,-0.135,0.0,0.17
-66.9076476033993,71.56967044125311,-0.12,0.0,0.0
0.005610226305231385,0.006252660658305015,-0.12,0.0,0.0085
0.006030246573836285,0.006897752191007115,-0.12,0.0,0.0169999999999999
0.007022958418083699,0.0086014051698317,-0.12,0.0,0.0254999999999999
0.007596249538692062,0.00930926805293914,-0.12,0.0,0.034
0.008463696123860566,0.010493247065164435,-0.12,0.0,0.0425
0.009048321360624997,0.011176378037635,-0.12,0.0,0.051
0.009243377253436602,0.011320052492485397,-0.12,0.0,0.0594999999999999
0.009558620533433945,0.01109726575088066,-0.12,0.0,0.068
0.009646341146516867,0.010188955230359734,-0.12,0.0,0.0764999999999999
0.009364824513973075,0.009678307499473326,-0.12,0.0,0.085
0.007435567023889512,0.009374197028267488,-0.12,0.0,0.0935
0.004844098954447464,0.009398001543000937,-0.12,0.0,0.102
0.002763733624364779,0.00933846521012942,-0.12,0.0,0.1105
0.0018495954472036325,0.009649882297392368,-0.12,0.0,0.119
0.0015636680659062525,0.010506830176629949,-0.12,0.0,0.1275
0.004528463896769264,0.014010198773832937,-0.12,0.0,0.136
0.00486975549230444,0.02308584071986756,-0.12,0.0,0.1445
0.030255133012639032,0.04096534011888456,-0.12,0.0,0.153
0.04834891551076723,0.05719927416607617,-0.12,0.0,0.1615
0.04070286812970413,0.041385943009149474,-0.12,0.0,0.17
-825.2716937432355,828.5393636133957,-0.1060660171779821,-0.1060660171779821,0.0
-107.59829761657966,110.10815660752726,-0.1060660171779821,-0.1060660171779821,0.008095238095238
-35.45128777594721,43.34259502669701,-0.1060660171779821,-0.1060660171779821,0.0161904761904762
-57.43514122197504,66.10962722346717,-0.1060660171779821,-0.1060660171779821,0.0242857142857142
3.69226673906506,6.962173313024694,-0.1060660171779821,-0.1060660171779821,0.0323809523809523
1.8070106398347017,10.454514225261576,-0.1060660171779821,-0.1060660171779821,0.0404761904761904
-4.084412479259412,17.063569209092588,-0.1060660171779821,-0.1060660171779821,0.0485714285714285
-13.43482240350766,27.628258837494414,-0.1060660171779821,-0.1060660171779821,0.0566666666666666
-10.987327362349642,25.7109908940575,-0.1060660171779821,-0.1060660171779821,0.0647619047619047
-9.951240894637358,25.56424403537428,-0.1060660171779821,-0.1060660171779821,0.0728571428571428
-7.175212981738474,23.478294583649422,-0.1060660171779821,-0.1060660171779821,0.0809523809523809
-8.634748152074083,25.168255184529805,-0.1060660171779821,-0.1060660171779821,0.089047619047619
-0.7267744720792866,17.551795412575785,-0.1060660171779821,-0.1060660171779821,0.0971428571428571
5.201201927005334,11.924735149951358,-0.1060660171779821,-0.1060660171779821,0.1052380952380952
6.340988784207838,11.010412417545076,-0.1060660171779821,-0.1060660171779821,0.1133333333333333
3.4927035290316093,14.984001267821583,-0.1060660171779821,-0.1060660171779821,0.1214285714285714
8.764297736294548,10.81224248829847,-0.1060660171779821,-0.1060660171779821,0.1295238095238095
10.742739023384043,12.664590395784796,-0.1060660171779821,-0.1060660171779821,0.1376190476190476
11.499221105053856,15.766431704402994,-0.1060660171779821,-0.1060660171779821,0.1457142857142857
13.619501120220132,14.883474068696579,-0.1060660171779821,-0.1060660171779821,0.1538095238095238
-3.6812998146172173,30.76706611723396,-0.1060660171779821,-0.1060660171779821,0.1619047619047619
-130.58494901854712,149.66254773802555,-0.1060660171779821,-0.1060660171779821,0.17
-11214.226001858202,11217.612775686772,-0.1060660171779821,0.1060660171779821,0.0
-1.2627608610414942,4.55484515374452,-0.1060660171779821,0.1060660171779821,0.0089473684210526
-64.38676345384027,69.80957553159604,-0.1060660171779821,0.1060660171779821,0.0178947368421052
-50.01158758870895,59.21940024808431,-0.1060660171779821,0.1060660171779821,0.0268421052631579
4.972618010835595,5.4099778733358805,-0.1060660171779821,0.1060660171779821,0.0357894736842105
5.263723162167579,5.717108521249986,-0.1060660171779821,0.1060660171779821,0.0447368421052631
5.94268863012006,6.405230801984004,-0.1060660171779821,0.1060660171779821,0.0536842105263157
1.7572589063133321,11.920610869694078,-0.1060660171779821,0.1060660171779821,0.0626315789473684
-5.100819751645395,19.865610644605034,-0.1060660171779821,0.1060660171779821,0.071578947368421
-8.899402531541096,24.465758904763565,-0.1060660171779821,0.1060660171779821,0.0805263157894736
-11.574733109321713,27.412962582532884,-0.1060660171779821,0.1060660171779821,0.0894736842105263
-5.349653182742575,21.58985567441138,-0.1060660171779821,0.1060660171779821,0.0984210526315789
